video_id,title,channel_id,views,duration,published_at,description,tags,category_id,like_count,comment_count,duration_seconds,url
1ZYbU82GVz4,"Flying: Ambient Relaxing Music for Sleep, Meditation & Relaxation by Peder B. Helland",UCjzHeG1KWoonmf9d5KBvSiw,426850865,PT3H22S,2016-07-03T17:09:48Z,"Relaxing sleep music for deep sleeping and stress relief. Fall asleep to beautiful nature videos and use the relaxing music (""Flying"" by Peder B. Helland) as sleeping music, soothing meditation music, relaxation music, study music and more. Stream or download music from Soothing Relaxation: https://soothingrelaxation.lnk.to/listenYL

💿 Track information:
Title: Flying 
Composer: Peder B. Helland
Index: ★68
Album: Flying
Buy or stream this album: https://soothingrelaxation.com/products/flying-album
Buy this track: https://soothingrelaxation.com/products/flying
License this track: https://soothingrelaxation.com/products/flying-license

Follow Soothing Relaxation on...
Soothing Relaxation: https://soothingrelaxation.lnk.to/websiteYL
Facebook: https://soothingrelaxation.lnk.to/FacebookYL
Instagram: https://soothingrelaxation.lnk.to/InstagramYL
Spotify: https://soothingrelaxation.lnk.to/listenYL/spotify
Apple Music: https://soothingrelaxation.lnk.to/listenYL/applemusic
YouTube Music: https://soothingrelaxation.lnk.to/listenYL/youtubemusic
Amazon Music: https://soothingrelaxation.lnk.to/listenYL/amazonmusic
Deezer: https://soothingrelaxation.lnk.to/listenYL/deezer

Follow Peder B. Helland on...
Website: https://pederbhelland.lnk.to/websiteYL
Facebook: https://pederbhelland.lnk.to/facebookYL
Instagram: https://pederbhelland.lnk.to/instagramYL

Listen to our playlists on other music services: https://www.soothingplaylists.com/
Listen to more relaxing music: https://www.youtube.com/playlist?list=PLQ_PIlf6OzqL3BE0rB6clb9IzLLkkSKUF
Get a free music download and stay updated with our newsletter: https://soothingrelaxation.lnk.to/newsletterYL

📜 Message from the composer and creator of Soothing Relaxation:
""I am a composer from Norway and I started this channel with a simple vision: to create a place that you can visit whenever you want to sit down and relax. I compose music that often can be described as sleep music, calm music, yoga music, study music, peaceful music, beautiful music and relaxing music. I love to compose music and I put a lot of work into it. 

Thank you very much for listening and for leaving feedback. Every single day I am completely astonished by all your warm support and it really inspires me to work even harder on my music. If you enjoy my work, I would be very happy if you decided to subscribe and join our community. Have a wonderful day or evening!""

- Peder B. Helland, composer for Soothing Relaxation

© Copyright:
Music composed/arranged by Peder B. Helland. 
Footage/photos licensed from:
• Videoblocks: Various artists

☀️ Relevant hashtags:
#relaxingmusic, #relax, #soothingrelaxation, #music, #sleep","['relax', 'relaxing music', 'soothing relaxation', 'peder b. helland', 'calm', 'peaceful', 'soothing', 'calming', 'relaxing', 'relaxation', 'relaxante', 'piano', 'piano music', 'guitar', 'cello', 'sleep music', 'meditation music', 'study music', 'soothing music', 'peaceful music', 'calm music', 'calming music', 'meditation', 'sleep', 'sleeping', 'insomnia', 'peter b. helland', 'smoothing relaxation', 'détendre', 'dormir', 'meditar', 'relajarse', 'spa', 'yoga', 'wellness', 'mindfullness', 'concentration', 'studying', 'study', 'reading', 'ambiance', 'ambient music']",10,2540616,136410,10822.0,https://www.youtube.com/watch?v=1ZYbU82GVz4
BiqlZZddZEo,Dance of Life: Relaxing Celtic Music for Meditation & Sleep by Peder B. Helland,UCjzHeG1KWoonmf9d5KBvSiw,63020013,PT3H4M47S,2016-09-17T18:00:01Z,"Relaxing fantasy music, ""Dance of Life"" by Peder B. Helland, for relaxation and meditation. Stream or download music from Soothing Relaxation: https://soothingrelaxation.lnk.to/listenYL

💿 Track information:
Title: Dance of Life 
Composer: Peder B. Helland
Index: ★91
Album: Dance of Life
Buy or stream this album: https://soothingrelaxation.com/products/dance-of-life-digital-album
Buy this track: https://soothingrelaxation.com/products/dance-of-life
License this track: https://soothingrelaxation.com/products/dance-of-life-license

Follow Soothing Relaxation on...
Soothing Relaxation: https://soothingrelaxation.lnk.to/websiteYL
Facebook: https://soothingrelaxation.lnk.to/FacebookYL
Instagram: https://soothingrelaxation.lnk.to/InstagramYL
Spotify: https://soothingrelaxation.lnk.to/listenYL/spotify
Apple Music: https://soothingrelaxation.lnk.to/listenYL/applemusic
YouTube Music: https://soothingrelaxation.lnk.to/listenYL/youtubemusic
Amazon Music: https://soothingrelaxation.lnk.to/listenYL/amazonmusic
Deezer: https://soothingrelaxation.lnk.to/listenYL/deezer

Follow Peder B. Helland on...
Website: https://pederbhelland.lnk.to/websiteYL
Facebook: https://pederbhelland.lnk.to/facebookYL
Instagram: https://pederbhelland.lnk.to/instagramYL

Listen to our playlists on other music services: https://www.soothingplaylists.com/
Listen to more relaxing music: https://www.youtube.com/playlist?list=PLQ_PIlf6OzqL3BE0rB6clb9IzLLkkSKUF
Get a free music download and stay updated with our newsletter: https://soothingrelaxation.lnk.to/newsletterYL

📜 Message from the composer and creator of Soothing Relaxation:
""I am a composer from Norway and I started this channel with a simple vision: to create a place that you can visit whenever you want to sit down and relax. I compose music that often can be described as sleep music, calm music, yoga music, study music, peaceful music, beautiful music and relaxing music. I love to compose music and I put a lot of work into it. 

Thank you very much for listening and for leaving feedback. Every single day I am completely astonished by all your warm support and it really inspires me to work even harder on my music. If you enjoy my work, I would be very happy if you decided to subscribe and join our community. Have a wonderful day or evening!""

- Peder B. Helland, composer for Soothing Relaxation

© Copyright:
Music composed/arranged by Peder B. Helland. 
Footage/photos licensed from:
• Shutterstock: various artists

☀️ Relevant hashtags:
#relaxingmusic, #relax, #soothingrelaxation, #music, #sleep","['calm', 'calm music', 'calming', 'calming music', 'cello', 'dormir', 'détendre', 'guitar', 'insomnia', 'meditar', 'meditation', 'meditation music', 'peaceful', 'peaceful music', 'peder b. helland', 'peter b. helland', 'piano', 'piano music', 'relajarse', 'relax', 'relaxante', 'relaxation', 'relaxing', 'relaxing music', 'sleep', 'sleep music', 'sleeping', 'sleeping music', 'smoothing relaxation', 'soothing', 'soothing music', 'soothing relaxation', 'study music']",10,574452,22723,11087.0,https://www.youtube.com/watch?v=BiqlZZddZEo
T8yEdNx4dB0,Quiet Night: Deep Sleep Music with Black Screen - Fall Asleep with Ambient Music,UCjzHeG1KWoonmf9d5KBvSiw,62886734,PT3H5M46S,2019-02-17T10:20:37Z,"Deep sleep music (""Quiet Night"") that hopefully will help you fall asleep. This ambient music is produced by Soothing Relaxation and composed by Peder B. Helland. The video fades to black after 10 minutes. Good night and sleep well! Stream or download music from Soothing Relaxation: https://soothingrelaxation.lnk.to/listenYL

💿 Track information:
Title: Quiet Night 
Composer: Peder B. Helland
Index: ★160
Album: Flying
Buy or stream this album: https://soothingrelaxation.com/products/flying-album
Buy this track: https://soothingrelaxation.com/products/quiet-night-1
License this track: https://soothingrelaxation.com/products/quiet-night

Follow Soothing Relaxation on...
Soothing Relaxation: https://soothingrelaxation.lnk.to/websiteYL
Facebook: https://soothingrelaxation.lnk.to/FacebookYL
Instagram: https://soothingrelaxation.lnk.to/InstagramYL
Spotify: https://soothingrelaxation.lnk.to/listenYL/spotify
Apple Music: https://soothingrelaxation.lnk.to/listenYL/applemusic
YouTube Music: https://soothingrelaxation.lnk.to/listenYL/youtubemusic
Amazon Music: https://soothingrelaxation.lnk.to/listenYL/amazonmusic
Deezer: https://soothingrelaxation.lnk.to/listenYL/deezer

Follow Peder B. Helland on...
Website: https://pederbhelland.lnk.to/websiteYL
Facebook: https://pederbhelland.lnk.to/facebookYL
Instagram: https://pederbhelland.lnk.to/instagramYL

Listen to our playlists on other music services: https://www.soothingplaylists.com/
Listen to more relaxing music: https://www.youtube.com/playlist?list=PLQ_PIlf6OzqL3BE0rB6clb9IzLLkkSKUF
Get a free music download and stay updated with our newsletter: https://soothingrelaxation.lnk.to/newsletterYL

📜 Message from the composer and creator of Soothing Relaxation:
""I am a composer from Norway and I started this channel with a simple vision: to create a place that you can visit whenever you want to sit down and relax. I compose music that often can be described as sleep music, calm music, yoga music, study music, peaceful music, beautiful music and relaxing music. I love to compose music and I put a lot of work into it. 

Thank you very much for listening and for leaving feedback. Every single day I am completely astonished by all your warm support and it really inspires me to work even harder on my music. If you enjoy my work, I would be very happy if you decided to subscribe and join our community. Have a wonderful day or evening!""

- Peder B. Helland, composer for Soothing Relaxation

© Copyright:
Music composed/arranged by Peder B. Helland. 
Footage/photos licensed from:
• Shutterstock: various artists

☀️ Relevant hashtags:
#relaxingmusic, #relax, #soothingrelaxation, #music, #sleep","['sleep music', 'deep sleep', 'sleeping music', 'soothing relaxation', 'peder b. helland', 'relaxing music', 'relax', 'sleeping', 'sleep', 'insomnia', 'beat insomnia', 'falling asleep', 'calm', 'peaceful', 'meditation', 'ambient', 'instrumental', 'ambient music', 'relaxing sleep music', 'deep sleep music', 'meditation music', 'mind', 'body', 'soothing', 'smoothing relaxation']",10,338339,10939,11146.0,https://www.youtube.com/watch?v=T8yEdNx4dB0
lh4JdZTJe7k,"12 Hours of Relaxing Sleep Music for Stress Relief, Sleeping & Meditation (Flying)",UCjzHeG1KWoonmf9d5KBvSiw,41891279,PT11H58M9S,2020-01-27T12:11:20Z,"12 hours of relaxing sleep music for stress relief and prevent insomnia. This calming background music is a long version of the popular track ""Flying"", composed by Peder B. Helland. Sleep well! Stream or download music from Soothing Relaxation: https://soothingrelaxation.lnk.to/listenYL

💿 Track information:
Title: Flying 
Composer: Peder B. Helland
Index: ★68
Album: Flying
Buy or stream this album: https://soothingrelaxation.com/products/flying-album
Buy this track: https://soothingrelaxation.com/products/flying
License this track: https://soothingrelaxation.com/products/flying-license

Follow Soothing Relaxation on...
Soothing Relaxation: https://soothingrelaxation.lnk.to/websiteYL
Facebook: https://soothingrelaxation.lnk.to/FacebookYL
Instagram: https://soothingrelaxation.lnk.to/InstagramYL
Spotify: https://soothingrelaxation.lnk.to/listenYL/spotify
Apple Music: https://soothingrelaxation.lnk.to/listenYL/applemusic
YouTube Music: https://soothingrelaxation.lnk.to/listenYL/youtubemusic
Amazon Music: https://soothingrelaxation.lnk.to/listenYL/amazonmusic
Deezer: https://soothingrelaxation.lnk.to/listenYL/deezer

Follow Peder B. Helland on...
Website: https://pederbhelland.lnk.to/websiteYL
Facebook: https://pederbhelland.lnk.to/facebookYL
Instagram: https://pederbhelland.lnk.to/instagramYL

Listen to our playlists on other music services: https://www.soothingplaylists.com/
Listen to more relaxing music: https://www.youtube.com/playlist?list=PLQ_PIlf6OzqL3BE0rB6clb9IzLLkkSKUF
Get a free music download and stay updated with our newsletter: https://soothingrelaxation.lnk.to/newsletterYL

📜 Message from the composer and creator of Soothing Relaxation:
""I am a composer from Norway and I started this channel with a simple vision: to create a place that you can visit whenever you want to sit down and relax. I compose music that often can be described as sleep music, calm music, yoga music, study music, peaceful music, beautiful music and relaxing music. I love to compose music and I put a lot of work into it. 

Thank you very much for listening and for leaving feedback. Every single day I am completely astonished by all your warm support and it really inspires me to work even harder on my music. If you enjoy my work, I would be very happy if you decided to subscribe and join our community. Have a wonderful day or evening!""

- Peder B. Helland, composer for Soothing Relaxation

© Copyright:
Music composed/arranged by Peder B. Helland. 
Footage/photos licensed from:
• Videoblocks: Various artists

☀️ Relevant hashtags:
#relaxingmusic, #relax, #soothingrelaxation, #music, #sleep","['calm', 'calm music', 'calming', 'calming music', 'cello', 'dormir', 'détendre', 'guitar', 'insomnia', 'meditar', 'meditation', 'meditation music', 'peaceful', 'peaceful music', 'peder b. helland', 'peter b. helland', 'piano', 'piano music', 'relajarse', 'relax', 'relaxante', 'relaxation', 'relaxing', 'relaxing music', 'sleep', 'sleep music', 'sleeping', 'sleeping music', 'smoothing relaxation', 'soothing', 'soothing music', 'soothing relaxation', 'study music']",10,178626,12092,43089.0,https://www.youtube.com/watch?v=lh4JdZTJe7k
qxyVCjp48S4,Headspace | Meditation | Training the Monkey Mind,UC3JhfsgFPLSLNEROQCdj-GQ,37331287,PT1M8S,2018-03-30T23:02:34Z,"When you first close your eyes to meditate, you might be surprised by how energetic the mind is. Where is the peace I was promised? It's not peaceful in here at all! But don't be discouraged. In this animation we explore how to create the conditions for a calm, quiet mind.

Learn the essentials of meditation and mindfulness with a Headspace subscription. You’ll have access to hundreds of guided meditations, from bite-sized minis for when you’re short on time, singles to add some extra mindfulness to your day, and hundreds of sessions for everything from stress to sleep. Designed to help guide you on your meditation journey.


Follow Us:
Facebook - https://www.facebook.com/Headspace
Twitter - https://twitter.com/Headspace
Instagram - https://www.instagram.com/headspace/","['Headspace', 'meditation', 'mindfulness', 'Andy Puddicombe', 'app', 'meditation app', 'how to meditate', 'meditation for beginners', 'mindfulness meditation', 'meditation for anxiety', 'meditation for stress relief', 'guided meditation', 'headspace', 'stress relief', 'meditation techniques', 'meditating', 'benefits of meditation', 'meditation for sleep', 'daily meditation', 'morning meditation', 'types of meditation', 'what is mindfulness', 'guided meditation youtube', 'free guided meditation', 'how to meditate for beginners']",26,7180,162,68.0,https://www.youtube.com/watch?v=qxyVCjp48S4
EwQkfoKxRvo,Isha Kriya: A Guided Meditation For Health And Wellbeing | 15-Minutes,UCcYzLCs3zrQIBVHYA1sK2sw,28999452,PT19M29S,2019-06-04T09:30:00Z,"Isha Kriya is a guided 15-minute meditation for health and wellbeing. Through the practice you learn to use your breath, thought and awareness in a way that your ability to use your mind and body is greatly enhanced. It is very simple but extremely powerful process that is great for beginners to learn. You can do it anywhere: at home, in the office, the park. Try out the process, pay attention to what it does within you and realize the benefits in no time.

00:00 What is Isha Kriya?
00:37 Isha Kriya Instructions
04:08 Sadhguru Guided Meditation
18:42 Isha Kriya Benefits

#SadhguruGuidedMeditation #Meditation #IshaKriya 

Isha Kriya is a 12-min guided meditation by Sadhguru. Watch this video for the guided instructions from Sadhguru and experience this powerful spiritual process in the comfort of your own home.

Watch this video in Gujarati https://youtu.be/r3__Z_CgWQg

Sadhguru Guided Meditations Playlist: https://www.youtube.com/playlist?list=PL3uDtbb3OvDO0BaLEkihzhJ6dhaIUpDqN
Chit Shakti Meditation for Success: https://youtu.be/JfSdjsijR3o
Isha Kriya Meditation (12 min): https://youtu.be/EwQkfoKxRvo
Shambhavi Mudra Meditation (5 min): https://youtu.be/C_xsXnRd_uc
Infinity Guided Meditation (13 min): https://youtu.be/xdfs4Bo3-Yw

#Sadhguru
Yogi, mystic and visionary, Sadhguru is a spiritual master with a difference. An arresting blend of profundity and pragmatism, his life and work serves as a reminder that yoga is a contemporary science, vitally relevant to our times. 
⚡ Full Moon Flirtations ⚡ 
Sadhguru Satsang Every Purnima
Register For Free at isha.co/FMF-YT-ANT


Sadhguru Exclusive (Register Now)
⚡ http://isha.co/ex-yt 

Sadhguru App (Download)
📱 http://onelink.to/sadhguru__app

Official Sadhguru Website 
🌎 http://isha.sadhguru.org 

Donate Towards Crafting A Conscious Planet
🙏 https://isha.sadhguru.org/sanghamitra

Offerings from Sadhguru in Challenging Times 
🌼 https://isha.sadhguru.org/sadhana-support

Guided Yoga & Meditations by Sadhguru (Free Online)
🌼 http://isha.sadhguru.org/5-min-practices
🌼 http://isha.sadhguru.org/IshaKriya


Official Social Profiles of Sadhguru  (Subscribe)
🌐 https://youtube.com/sadhguru?sub_confirmation=1
🌐 https://facebook.com/sadhguru
🌐 https://instagram.com/sadhguru
🌐 https://twitter.com/SadhguruJV
🌐 https://t.me/Sadhguru","['quick meditation', 'meditation', 'morning meditation', 'fast meditation', 'stress relief', 'anxiety relief', 'meditation for anxiety', 'guided meditation', 'relaxing meditation', 'calming meditation', 'how to do meditation', 'how to meditate', 'meditation video', 'yoga for peace', '15 minutes meditation', 'sadhguru meditation', 'meditate with sadhguru']",26,268243,10904,1169.0,https://www.youtube.com/watch?v=EwQkfoKxRvo
inpok4MKVLM,5-Minute Meditation You Can Do Anywhere,UCEMArgthHuEtX-04qL_8puQ,23786828,PT5M17S,2019-09-04T15:00:07Z,"In just 5 minutes you can reset your day in a positive way.

Special thanks to John Davisi for lending us his incredibly soothing voice. https://www.johndavisi.com/
https://www.youtube.com/c/JohnDavisi","['meditation', 'goodful', '5-minute', '5-minutes', '5 minute meditation', 'quick meditation', 'fast meditation', 'joy', 'joy meditation', 'feel good', 'soothing', 'satisfying', 'just satisfying things', 'guided meditation', 'meditation music', 'relaxing', 'mindfulness meditation', 'stress relief', 'calm', 'relaxation', 'mindfulness', 'soothing relaxation', 'morning meditation']",26,482889,12711,317.0,https://www.youtube.com/watch?v=inpok4MKVLM
kndqIj8Qgok,"Спокойная Музыка Для Медитации  И Снятия Стресса  Meditation Music ,  Nature Sounds",UCVrUkS1grWtiUP7VRLbGLZA,18869022,PT3H44M42S,2019-02-05T07:00:02Z,"★  🎶Серия расслабляющей музыки DOZE OFF MEDUZA  / STAV IT SKY -это оригинальные, успокаивающие простые и мирные мелодии, сочиненные музыкантом  “ STAV IT SKY “ и загруженные на YouTube . Обычно это расслабляющий звук фортепиано, который хорош для снятия стресса . Но также эта музыка отлично подходит для отдыха, медитации, йоги, массажа, учебы, чтения, сна , работы и т. д., а так же  что бы помочь Вам уснуть

★  🎶 The DOZE OFF MEDUZA  / STAV IT SKY relaxing music series Is Original, calming simple and peaceful tunes composed  by STAV  IT SKY and uploaded to YouTube . Usually This is Relaxing Piano Sound Which is  Good For Stress Relief, But Also These music are great for relaxing, meditation, yoga, massage, studying, reading, working , etc. and to help you to fall asleep .

      ★♍ Information from the Channel Author:
Hi Guys  !! I Make Music  For Relaxation And Meditation, When Have Time. All Music On This Channel is my creativity. Most Of The Footage On This Channel Made By Me As Well.🎬  
I used to signed my Music  And Footage as ANTON ANISIMOV , But since February  of 2019 when I Got Apple Artist ID I Started Sign my Music As STAV IT SKY .
So do not get confused by this fact .
I wish You All The Best
_______________________________

     ★♍ Информация от Автора Канала:
Всем Привет  !! Я делаю музыку для Релаксации и Медитации, когда есть Свободное  время. Вся музыка на этом канале - мое творчество. Большая часть отснятого материала на этом канале также сделана мной.🎬
Раньше я подписывал свою музыку и кадры как ANTON ANISIMOV, но с февраля 2019 года, когда я получил Apple Artist ID, я начал подписывать свою музыку как STAV IT SKY.
Так что не смущайтесь этим фактом.
Всего Вам Наилучшего !!!
__________________________________________________________

★ Track information 🎶🎶:

         Title: In The AIR 
         Composer: Stav It Sky
         Released: April 2019
         Album: PERFECT TIME

★ ★ ★

Download the music / Скачать Мои Мелодии Можно Здесь:

GOOGLE PLAY: Best Prise / Лучшая Цена, Треки Поотдельности 
https://play.google.com/store/search?q=stav+it+sky&c=music

CD Baby:
https://store.cdbaby.com/cd/stavitskystavitskyyury

AMAZON :
https://www.amazon.com/s?k=stav+it+sky&ref=nb_sb_noss

iTUNES :
https://itunes.apple.com/ru/album/sounds-of-a-garden-ep/1452882210

SHAZAM :
https://www.shazam.com/gb/artist/205479805/stav-it-sky
______________________________________________

★  MY FOOTAGE FREE FOR COMMERCIAL USE via pixabay.com :

     https://pixabay.com/ru/users/stav_it_sky-11585264/

_______________________________________________________________



© Copyright CREDITS:

Music composed by: STAV IT SKY (All rights reserved )

Footage licensed from:

Videoblocks.","['Музыка Для Массажа', 'музыка для медитации', 'Stress Relief Music', 'Relax Music', 'Звуки Природы', 'relaxing music', 'music for stress relief', 'meditation music', 'music for relaxation', 'music for meditation', 'healing music', 'relax', 'relaxing', 'music therapy', 'background music', 'pilates', 'binaural beats', 'positive', 'new age music', 'healing', 'relaxation music', 'Дельта Волны']",22,153867,6076,13482.0,https://www.youtube.com/watch?v=kndqIj8Qgok
O-6f5wQXSu8,10-Minute Meditation For Anxiety,UCEMArgthHuEtX-04qL_8puQ,16553748,PT10M21S,2020-04-01T15:00:15Z,"Take a moment and let this guided meditation relieve your anxiety.

Written and Narrated by John Davisi. John is a mindfulness life coach, teacher, and speaker. Check out his mindfulness and meditation sessions at https://www.youtube.com/c/JohnDavisi .

Subscribe to John Davisi: https://www.youtube.com/c/JohnDavisi

Subscribe to Goodful: https://bzfd.it/2QApoPk

About Goodful:
Feel better, be better, and do better. Subscribe to Goodful for all your healthy self care needs, from food to fitness and everything in between!

Connect with Goodful:
Like us on Facebook: https://www.facebook.com/officialgoodful/
Follow us on Instagram: https://www.instagram.com/goodful/
Follow us on Twitter: https://twitter.com/goodful
Check out our website: https://www.goodful.com/
Subscribe to the Goodful Newsletter: https://www.buzzfeed.com/newsletters/goodful

Credits: https://www.buzzfeed.com/bfmp/videos/102576
MUSIC

Licensed via Audio Network




https://www.youtube.com/c/Goodful","['10 minute meditation', 'K_fe', 'anxiety', 'anxiety disorder', 'anxiety guided meditation', 'anxiety meditation', 'anxiety relief', 'guided meditation', 'guided meditation 10 min', 'guided meditation anxiety', 'guided meditation for anxiety', 'guided mindfulness meditation', 'healing meditation', 'let go of anxiety', 'meditation', 'meditation for anxiety', 'meditation for coronavirus', 'meditation for overthinking', 'meditation for stress', 'morning meditation', 'panic attack meditation']",26,310510,13294,621.0,https://www.youtube.com/watch?v=O-6f5wQXSu8
WI1xExDWVF0,"Relaxing Piano Music: Sleep Music, Meditation Music, Soothing Music, Calming Music ★77",UCjzHeG1KWoonmf9d5KBvSiw,15315764,PT3H4M5S,2016-07-23T10:54:37Z,"Relaxing piano music composed by Peder B. Helland. Soothing, calming music that can be used as background music for relaxation. Soothing Relaxation produces sleep music, meditation music, study music, background music, spa music, beautiful instrumental music and more. Download this music ►https://soothingrelaxation.bandcamp.com/track/relaxing-piano-music-77
Listen to more piano music composed by Peder B. Helland ► https://www.youtube.com/watch?v=ubRs2zzfzWg&list=PLQ_PIlf6OzqIbDAB-ErHx6LYIsseKs8Eg&index=1


------------------------------------------------------------------------------
I am a composer from Norway and I started this channel with a simple vision: to create a place that you can visit in order to chill out & relax. I compose music that can be labeled as for example: sleep music, calm music, yoga music, study music, peaceful music, beautiful music and relaxing music. I love to compose music and I put a lot of work into it. 

Thank you very much for listening and for leaving feedback. Have a wonderful day or evening!

~Peder B. Helland

------------------------------------------------------------------------------
~Places to download my music~
Itunes ► https://itunes.apple.com/us/artist/peder-b.-helland/id670633352
Bandcamp ► http://musicloveroriginals.bandcamp.com
Amazon ► http://www.amazon.com/s/ref=ntt_srch_drd_B00FGLK06C?ie=UTF8&field-keywords=Peder%20B.%20Helland&index=digital-music&search-type=ss
Google Play ►https://play.google.com/store/music/artist/Peder_B_Helland?id=Aknsdtud7aeouew6ny2zv5d3xhq

------------------------------------------------------------------------------
If you want to listen to all of my music (in other genres as well), feel free to check out my other channel ► https://www.youtube.com/user/MusicLoverOriginals

My personal Facebook page ► https://www.facebook.com/PederBHelland","['piano music', 'piano', 'relaxing piano', 'relax', 'relaxing', 'relaxing music', 'study music', 'meditation music', 'soothing music', 'background music', 'sleep music', 'instrumental', 'music', 'soothing relaxation', 'peder b. helland', 'spa music', 'beautiful music', 'relaxing piano music', 'peaceful music', 'yoga music', 'calm music', 'calming music', 'relaxation music']",10,89117,3760,11045.0,https://www.youtube.com/watch?v=WI1xExDWVF0
